,Actif_1,Actif_2,Actif_3,Actif_4,Actif_5
1007,0,12,4,32,52
1008,0,12,4,36,48
1009,0,12,4,40,44
1010,0,12,4,44,40
1011,0,12,4,48,36
1012,0,12,4,52,32
1013,0,12,4,56,28
1014,0,12,4,60,24
1015,0,12,4,64,20
1016,0,12,4,68,16
1017,0,12,4,72,12
1018,0,12,4,76,8
1019,0,12,4,80,4
1020,0,12,4,84,0
1021,0,12,8,0,80
1022,0,12,8,4,76
1023,0,12,8,8,72
1024,0,12,8,12,68
1025,0,12,8,16,64
1026,0,12,8,20,60
1027,0,12,8,24,56
1028,0,12,8,28,52
1029,0,12,8,32,48
1030,0,12,8,36,44
1031,0,12,8,40,40
1032,0,12,8,44,36
1033,0,12,8,48,32
1034,0,12,8,52,28
1035,0,12,8,56,24
1036,0,12,8,60,20
1037,0,12,8,64,16
1038,0,12,8,68,12
1039,0,12,8,72,8
1040,0,12,8,76,4
1041,0,12,8,80,0
1042,0,12,12,0,76
1043,0,12,12,4,72
1044,0,12,12,8,68
1045,0,12,12,12,64
1046,0,12,12,16,60
1047,0,12,12,20,56
1048,0,12,12,24,52
1049,0,12,12,28,48
1050,0,12,12,32,44
1051,0,12,12,36,40
1052,0,12,12,40,36
1053,0,12,12,44,32
1054,0,12,12,48,28
1055,0,12,12,52,24
1056,0,12,12,56,20
1057,0,12,12,60,16
1058,0,12,12,64,12
1059,0,12,12,68,8
1060,0,12,12,72,4
1061,0,12,12,76,0
1062,0,12,16,0,72
1063,0,12,16,4,68
1064,0,12,16,8,64
1065,0,12,16,12,60
1066,0,12,16,16,56
1067,0,12,16,20,52
1068,0,12,16,24,48
1069,0,12,16,28,44
1070,0,12,16,32,40
1071,0,12,16,36,36
1072,0,12,16,40,32
1073,0,12,16,44,28
1074,0,12,16,48,24
1075,0,12,16,52,20
1076,0,12,16,56,16
1077,0,12,16,60,12
1078,0,12,16,64,8
1079,0,12,16,68,4
1080,0,12,16,72,0
1081,0,12,20,0,68
1082,0,12,20,4,64
1083,0,12,20,8,60
1084,0,12,20,12,56
1085,0,12,20,16,52
1086,0,12,20,20,48
1087,0,12,20,24,44
1088,0,12,20,28,40
1089,0,12,20,32,36
1090,0,12,20,36,32
1091,0,12,20,40,28
1092,0,12,20,44,24
1093,0,12,20,48,20
1094,0,12,20,52,16
1095,0,12,20,56,12
1096,0,12,20,60,8
1097,0,12,20,64,4
1098,0,12,20,68,0
1099,0,12,24,0,64
1100,0,12,24,4,60
1101,0,12,24,8,56
1102,0,12,24,12,52
1103,0,12,24,16,48
1104,0,12,24,20,44
